1.581139e-01	1.777031e+08
1.969995e-01	6.396107e+07
2.428526e-01	4.677930e+07
2.986817e-01	1.629053e+07
3.583799e-01	8.989145e+06
4.323595e-01	3.201152e+06
5.292276e-01	1.265135e+06
6.401972e-01	1.435805e+06
7.705758e-01	6.764198e+05
9.358086e-01	5.167938e+05
1.137865e+00	3.313173e+05
1.383720e+00	2.347401e+05
1.683269e+00	2.207454e+05
2.045949e+00	1.558117e+05
2.484358e+00	1.574925e+05
3.015770e+00	1.640235e+05
3.663301e+00	1.473269e+05
4.448698e+00	1.150264e+05
5.400640e+00	1.110347e+05
6.558665e+00	1.208054e+05
7.964779e+00	1.183216e+05
9.670920e+00	1.214265e+05
1.174336e+01	1.196647e+05
1.426014e+01	1.130964e+05
1.731703e+01	1.118841e+05
2.102962e+01	1.191617e+05
2.553755e+01	1.259948e+05
3.101108e+01	1.398417e+05
3.765811e+01	1.489499e+05
